company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country,icp_segments,source
Agency for Healthcare Research and Quality,https://www.linkedin.com/company/agency-for-healthcare-research-and-quality,ahrq.gov,Hospitals and Health Care,Government Agency,201-500,448,-,Rockville,Maryland,US,Sensor Bio - Clinical & Health Systems,Blitz API
Q-Centrix,https://www.linkedin.com/company/q-centrix,q-centrix.com,Hospitals and Health Care,Privately Held,1001-5000,884,2010,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems,Blitz API
Johns Hopkins All Children's Hospital,https://www.linkedin.com/company/johnshopkinsallchildrens,hopkinsallchildrens.org,Hospitals and Health Care,Nonprofit,1001-5000,3388,1926,St Petersburg,Florida,US,Sensor Bio - Clinical & Health Systems,Blitz API
Sutherland Healthcare Solutions,https://www.linkedin.com/company/sutherland_healthcare_solutions,sutherlandglobal.com,Hospitals and Health Care,Privately Held,1001-5000,4463,1986,Clifton,New Jersey,US,Sensor Bio - Clinical & Health Systems,Blitz API
Rady Children's Hospital-San Diego,https://www.linkedin.com/company/radychildrens,rchsd.org,Hospitals and Health Care,Nonprofit,1001-5000,4944,1954,San Diego,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
AAPC Baltimore West Local Chapter,https://www.linkedin.com/company/aapc-baltimore-west-local-chapter,bmorewestaapc.com,Hospitals and Health Care,Nonprofit,501-1000,1,-,Baltimore,Maryland,US,Sensor Bio - Clinical & Health Systems,Blitz API
"AIR FORCE RETIRED OFFICERS COMMUNITY - WASHINGTON, D.C",https://www.linkedin.com/company/air-force-retired-officers-community---washington-d.c,falconslanding.org,Hospitals and Health Care,-,201-500,1,-,Potomac Falls,Virginia,US,Sensor Bio - Clinical & Health Systems,Blitz API
Darwis Corp Holding Company,https://www.linkedin.com/company/darwis-corp-holding-company,-,Hospitals and Health Care,Privately Held,501-1000,1,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Emory Capital Group,https://www.linkedin.com/company/emory-capital-group,emorycapitalgroup.com,Hospitals and Health Care,Privately Held,501-1000,1,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Manreal Medical Clinic,https://www.linkedin.com/company/manreal-medical-clinic,-,Hospitals and Health Care,Privately Held,201-500,1,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
MantraAssist,https://www.linkedin.com/company/mantraassist,mantraassist.com,Hospitals and Health Care,Privately Held,501-1000,1,2024,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
"Metro Superspeciality Hospitals, Vijayawada",https://www.linkedin.com/company/metro-superspeciality-hospitals-vijayawada,-,Hospitals and Health Care,Privately Held,201-500,1,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Vaidyaratnam Ayurveda,https://www.linkedin.com/company/vaidyaratnamayurveda,-,Hospitals and Health Care,Nonprofit,1001-5000,1,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Medical Faction,https://www.linkedin.com/company/medical-faction,medicalfaction.com,Hospitals and Health Care,Educational Institution,1001-5000,1,2023,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Beckman Medical Certificate Program,https://www.linkedin.com/company/beckman-medical-certificate-program,wixsite.com,Hospitals and Health Care,Nonprofit,501-1000,1,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Heal In Ceylon,https://www.linkedin.com/company/heal-in-ceylon,-,Hospitals and Health Care,Privately Held,201-500,1,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Medinovo,https://www.linkedin.com/company/medinovo,medinovo.com,Hospitals and Health Care,Privately Held,201-500,1,2017,Newport Beach,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
West Central Illinois AHEC,https://www.linkedin.com/company/west-central-illinois-ahec,mhtlc.org,Hospitals and Health Care,Partnership,201-500,1,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
GLOBAL MEDICAL GROUP INTERNATIONAL,https://www.linkedin.com/company/global-medical-group-international,globalmedicalgroupint.com,Hospitals and Health Care,Partnership,501-1000,1,2018,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Wings Hospitals,https://www.linkedin.com/company/wingshospitalsofficial,wingshospitals.com,Hospitals and Health Care,Privately Held,1001-5000,1,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
European Association of Percutaneous Cardiovascular Interventions - EAPCI,https://www.linkedin.com/company/european-association-of-percutaneous-cardiovascular-interventions-eapci,escardio.org,Hospitals and Health Care,Nonprofit,1001-5000,1,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Lexington Renal Care,https://www.linkedin.com/company/lexington-renal,rooseveltrehab.com,Hospitals and Health Care,Privately Held,501-1000,1,2024,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Indian Society For Trauma And Acute Care,https://www.linkedin.com/company/indian-society-for-trauma-and-acute-care-istac,traumaindia.org,Hospitals and Health Care,Educational,501-1000,1,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Olive Hospitals,https://www.linkedin.com/company/olive-hospital,olivehospitals.com,Hospitals and Health Care,Privately Held,501-1000,1,2008,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Practo,https://www.linkedin.com/company/abc-ltd-ef,-,Hospitals and Health Care,Public Company,1001-5000,1,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Baba Yogi Netanath Hospital & Research Centre,https://www.linkedin.com/company/baba-yogi-netanath-hospital-research-centre,-,Hospitals and Health Care,Privately Held,201-500,1,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Dhanbad Society for Obstetrics & Gynaecology - DSOG,https://www.linkedin.com/company/dsogsociety,-,Hospitals and Health Care,Privately Held,501-1000,1,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Chend Healthcare Solutions,https://www.linkedin.com/company/chendhealthcaresolutions,chendhealthcaresolutions.com,Hospitals and Health Care,Self-Owned,201-500,1,2024,Newyork,-,US,Sensor Bio - Clinical & Health Systems | Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Lumedica Healthcare Group,https://www.linkedin.com/company/lumedica-healthcare-group,-,Hospitals and Health Care,Privately Held,201-500,1,2015,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
