company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country,segment
Wheel,https://www.linkedin.com/company/wheel-health,wheel.com,Hospitals and Health Care,Privately Held,201-500,297,2018,Austin,Texas,US,Sensor Bio - Clinical & Health Systems
Eskenazi Health,https://www.linkedin.com/company/eskenazi-health,eskenazihealth.edu,Hospitals and Health Care,Nonprofit,1001-5000,3851,1859,Indianapolis,Indiana,US,Sensor Bio - Clinical & Health Systems
HealthVerity,https://www.linkedin.com/company/healthverity,healthverity.com,Hospitals and Health Care,Privately Held,201-500,272,-,Philadelphia,Pennsylvania,US,Sensor Bio - Clinical & Health Systems
Oakmont Senior Living,https://www.linkedin.com/company/oakmont-senior-living,oakmontseniorliving.com,Hospitals and Health Care,Privately Held,1001-5000,1885,-,Irvine,California,US,Sensor Bio - Clinical & Health Systems
NeueHealth,https://www.linkedin.com/company/neuehealth,neuehealth.com,Hospitals and Health Care,Privately Held,1001-5000,139,-,Doral,Florida,US,Sensor Bio - Clinical & Health Systems
Children's Hospital of The King's Daughters,https://www.linkedin.com/company/chkd,chkd.org,Hospitals and Health Care,Nonprofit,1001-5000,2694,1961,Norfolk,Virginia,US,Sensor Bio - Clinical & Health Systems
Mayo Clinic Rochester,https://www.linkedin.com/company/mayo-clinic-rochester,mayoclinichealthsystem.org,Hospitals and Health Care,-,201-500,4431,-,Mankato,Minnesota,US,Sensor Bio - Clinical & Health Systems
Bright Health,https://www.linkedin.com/company/bright-health,brighthealthgroup.com,Hospitals and Health Care,Privately Held,1001-5000,393,2015,Bloomington,Minnesota,US,Sensor Bio - Clinical & Health Systems
Fox Chase Cancer Center,https://www.linkedin.com/company/fox-chase-cancer-center,foxchase.org,Hospitals and Health Care,Nonprofit,1001-5000,2162,1904,Philadelphia,Pennsylvania,US,Sensor Bio - Clinical & Health Systems
UT Medical,https://www.linkedin.com/company/ut-medical,utmedicalcenter.org,Hospitals and Health Care,Nonprofit,1001-5000,4222,1956,Knoxville,Tennessee,US,Sensor Bio - Clinical & Health Systems
Dario,https://www.linkedin.com/company/dariohealth,dariohealth.com,Hospitals and Health Care,Public Company,201-500,249,2011,New York,New York,US,Sensor Bio - Clinical & Health Systems
24/7 Medical Billing Services,https://www.linkedin.com/company/24-7-medical-billing-services,247medicalbillingservices.com,Hospitals and Health Care,Privately Held,501-1000,90,2005,Lewes,Delaware,US,Sensor Bio - Clinical & Health Systems
Wills Eye Hospital,https://www.linkedin.com/company/wills-eye-hospital,willseye.org,Hospitals and Health Care,Nonprofit,501-1000,529,1832,Philadelphia,Pennsylvania,US,Sensor Bio - Clinical & Health Systems
Lumexa Imaging,https://www.linkedin.com/company/lumexa-imaging,usradiology.com,Hospitals and Health Care,Privately Held,1001-5000,588,2018,Raleigh,North Carolina,US,Sensor Bio - Clinical & Health Systems
TriWest Healthcare Alliance,https://www.linkedin.com/company/triwest-healthcare-alliance,triwest.com,Hospitals and Health Care,Privately Held,1001-5000,2395,1996,Phoenix,Arizona,US,Sensor Bio - Clinical & Health Systems
MedSpeed,https://www.linkedin.com/company/medspeed,medspeed.com,Hospitals and Health Care,Privately Held,1001-5000,1020,2000,Elmhurst,Illinois,US,Sensor Bio - Clinical & Health Systems
Clarus RCM,https://www.linkedin.com/company/clarusrcm,clarusrcm.com,Hospitals and Health Care,Privately Held,1001-5000,1859,2014,Draper,Utah,US,Sensor Bio - Clinical & Health Systems
"Dialysis Clinic, Inc.",https://www.linkedin.com/company/dialysis-clinic-inc-,dciinc.org,Hospitals and Health Care,Privately Held,1001-5000,2458,1971,Nashville,Tennessee,US,Sensor Bio - Clinical & Health Systems
University of Michigan Health-West,https://www.linkedin.com/company/uofmhealthwest,uofmhealthwest.org,Hospitals and Health Care,Nonprofit,1001-5000,3287,1942,Wyoming,Michigan,US,Sensor Bio - Clinical & Health Systems
MedCore Solutions,https://www.linkedin.com/company/medcoresolutions,medcoresolutions.com,Hospitals and Health Care,Privately Held,201-500,61,2021,Tucson,Arizona,US,Sensor Bio - Clinical & Health Systems
GE HealthCare Command Center,https://www.linkedin.com/company/gehealthcarecommandcenters,gehccommandcenter.com,Hospitals and Health Care,Public Company,201-500,89,2012,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems
Valley Children's Healthcare,https://www.linkedin.com/company/valley-childrens-healthcare,valleychildrens.org,Hospitals and Health Care,Nonprofit,1001-5000,2301,1952,Madera,California,US,Sensor Bio - Clinical & Health Systems
WRS Health,https://www.linkedin.com/company/wrshealth,wrshealth.com,Hospitals and Health Care,Privately Held,201-500,132,1999,Goshen,New York,US,Sensor Bio - Clinical & Health Systems
Artera,https://www.linkedin.com/company/artera-io,artera.io,Hospitals and Health Care,Privately Held,201-500,285,2015,Santa Barbara,California,US,Sensor Bio - Clinical & Health Systems
"Biodesix, Inc.",https://www.linkedin.com/company/biodesix-inc-,biodesix.com,Hospitals and Health Care,Public Company,201-500,361,2006,Louisville,Colorado,US,Sensor Bio - Clinical & Health Systems
Abarca Health,https://www.linkedin.com/company/abarcahealth,abarcahealth.com,Health and Human Services,Privately Held,501-1000,688,2005,San Juan,-,US,Sensor Bio - Clinical & Health Systems
Doctor On Demand,https://www.linkedin.com/company/doctor-on-demand,includedhealth.com,Hospitals and Health Care,Privately Held,201-500,1287,2013,San Francisco,California,US,Sensor Bio - Clinical & Health Systems
HMS,https://www.linkedin.com/company/hmshealthcare,hms.com,Hospitals and Health Care,Privately Held,1001-5000,2509,-,Irving,Texas,US,Sensor Bio - Clinical & Health Systems
Life Medical Centre & Clinic,https://www.linkedin.com/company/life-medicalcentre,lifemedicalcentre.com,Hospitals and Health Care,Privately Held,1001-5000,330,-,-,-,US,Sensor Bio - Clinical & Health Systems
Shepherd Center,https://www.linkedin.com/company/shepherd-center,shepherd.org,Hospitals and Health Care,Nonprofit,1001-5000,1602,1975,Atlanta,Georgia,US,Sensor Bio - Clinical & Health Systems
AL KAMAL IMPORT OFFICE COMPANY LTD.,https://www.linkedin.com/company/al-kamal-import-office-company-ltd,-,Hospitals and Health Care,Privately Held,201-500,206,1967,-,-,US,Sensor Bio - Clinical & Health Systems
Cook County Health,https://www.linkedin.com/company/cook-county-health,cookcountyhealth.org,Hospitals and Health Care,Government Agency,1001-5000,2165,1835,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems
The Pill Club,https://www.linkedin.com/company/thepillclub,thepillclub.com,Hospitals and Health Care,Privately Held,201-500,84,2014,San Mateo,California,US,Sensor Bio - Clinical & Health Systems
Nova Medical Centers,https://www.linkedin.com/company/nova-medical-centers,n-o-v-a.com,Hospitals and Health Care,Privately Held,501-1000,608,1992,Houston,Texas,US,Sensor Bio - Clinical & Health Systems
"Grand Rounds Health, now part of Included Health",https://www.linkedin.com/company/grandrounds,includedhealth.com,Hospitals and Health Care,Privately Held,501-1000,105,-,San Francisco,California,US,Sensor Bio - Clinical & Health Systems
CPS,https://www.linkedin.com/company/cps,cps.com,Hospitals and Health Care,Privately Held,1001-5000,1860,1971,Dublin,Ohio,US,Sensor Bio - Clinical & Health Systems
ECRI,https://www.linkedin.com/company/ecri-org,ecri.org,Hospitals and Health Care,Nonprofit,201-500,519,1968,Willow Grove,Pennsylvania,US,Sensor Bio - Clinical & Health Systems
Nomi Health,https://www.linkedin.com/company/nomi-health,nomihealth.com,Hospitals and Health Care,Privately Held,501-1000,348,2019,Orem,Utah,US,Sensor Bio - Clinical & Health Systems
HCCS - Healthcare Coding & Consulting Services,https://www.linkedin.com/company/healthcare-coding-and-consulting-services-hccs-,hccscoding.com,Hospitals and Health Care,Privately Held,201-500,289,2006,Fort Myers,Florida,US,Sensor Bio - Clinical & Health Systems
"Physicians Revenue Group, Inc.",https://www.linkedin.com/company/prgmdinc,prgmd.com,Hospitals and Health Care,Privately Held,1001-5000,552,1997,Downers Grove,Illinois,US,Sensor Bio - Clinical & Health Systems
MEDHOST,https://www.linkedin.com/company/medhost,medhost.com,Hospitals and Health Care,Privately Held,501-1000,537,1984,Franklin,Tennessee,US,Sensor Bio - Clinical & Health Systems
QualDerm Partners,https://www.linkedin.com/company/qualderm-partners,qualderm.com,Hospitals and Health Care,Privately Held,1001-5000,227,2014,Brentwood,Tennessee,US,Sensor Bio - Clinical & Health Systems
St. Louis Children's Hospital,https://www.linkedin.com/company/st-louis-childrens-hospital,stlouischildrens.org,Hospitals and Health Care,Nonprofit,1001-5000,2669,1879,St Louis,Missouri,US,Sensor Bio - Clinical & Health Systems
CarelonRx,https://www.linkedin.com/company/carelonrx,carelonrx.com,Hospitals and Health Care,Public Company,1001-5000,806,-,Morristown,New Jersery,US,Sensor Bio - Clinical & Health Systems
Cano Health,https://www.linkedin.com/company/canohealth,canohealth.com,Hospitals and Health Care,Public Company,1001-5000,1159,2009,Miami,Florida,US,Sensor Bio - Clinical & Health Systems
Vibrant Emotional Health,https://www.linkedin.com/company/vibrantforall,vibrant.org,Hospitals and Health Care,Nonprofit,1001-5000,709,1969,New York,New York,US,Sensor Bio - Clinical & Health Systems
"Mercy Medical Center, Baltimore, MD",https://www.linkedin.com/company/mercycareersbaltimore,mdmercy.com,Hospitals and Health Care,Nonprofit,1001-5000,2400,1874,Baltimore,Maryland,US,Sensor Bio - Clinical & Health Systems
Truepill,https://www.linkedin.com/company/truepill,truepill.com,Hospitals and Health Care,Privately Held,501-1000,345,2016,Hayward,California,US,Sensor Bio - Clinical & Health Systems
Crossover Health,https://www.linkedin.com/company/crossover-health,crossoverhealth.com,Hospitals and Health Care,Privately Held,1001-5000,974,2010,San Clemente,California,US,Sensor Bio - Clinical & Health Systems
Sinai Chicago,https://www.linkedin.com/company/sinaichicago,sinaichicago.org,Hospitals and Health Care,Nonprofit,1001-5000,1879,1919,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems
Overlake Medical Center & Clinics,https://www.linkedin.com/company/overlake-medical-center-and-clinics,overlakehospital.org,Hospitals and Health Care,Nonprofit,1001-5000,2559,1960,Bellevue,Washington,US,Sensor Bio - Clinical & Health Systems
Healthgrades,https://www.linkedin.com/company/healthgrades,healthgrades.com,Hospitals and Health Care,Privately Held,501-1000,519,-,Denver,Colorado,US,Sensor Bio - Clinical & Health Systems
Unimed Maceió,https://www.linkedin.com/company/unimedmaceiooficial,unimed.coop.br,Hospitals and Health Care,Privately Held,501-1000,1104,1978,Maceió,Alabama,US,Sensor Bio - Clinical & Health Systems
Rotech Healthcare,https://www.linkedin.com/company/rotech-healthcare,rotech.com,Hospitals and Health Care,Privately Held,1001-5000,2733,-,Orlando,Florida,US,Sensor Bio - Clinical & Health Systems
PT Solutions Physical Therapy,https://www.linkedin.com/company/pt-solutions-physical-therapy,ptsolutions.com,Hospitals and Health Care,Privately Held,1001-5000,3291,2003,Atlanta,Georgia,US,Sensor Bio - Clinical & Health Systems
Aspirion,https://www.linkedin.com/company/aspirion-health-resources-llc,aspirion.com,Hospitals and Health Care,Privately Held,1001-5000,704,2006,Columbus,Georgia,US,Sensor Bio - Clinical & Health Systems
Family Health Centers of San Diego,https://www.linkedin.com/company/fhcsd,fhcsd.org,Hospitals and Health Care,Nonprofit,1001-5000,1502,1970,San Diego,California,US,Sensor Bio - Clinical & Health Systems
Bamboo Health,https://www.linkedin.com/company/bamboo-hlth,bamboohealth.com,Hospitals and Health Care,Privately Held,501-1000,357,-,Louisville,Kentucky,US,Sensor Bio - Clinical & Health Systems
Svast Healthcare Technologies,https://www.linkedin.com/company/svast-healthcare-technologies,svasthealthtech.com,Hospitals and Health Care,Privately Held,201-500,131,2020,Brentwood,Tennessee,US,Sensor Bio - Clinical & Health Systems
Scottish Rite for Children,https://www.linkedin.com/company/scottish-rite-for-children,scottishriteforchildren.org,Hospitals and Health Care,Nonprofit,1001-5000,1037,1921,Dallas,Texas,US,Sensor Bio - Clinical & Health Systems
Sunknowledge Services Inc.,https://www.linkedin.com/company/sun-knowledge,sunknowledge.com,Hospitals and Health Care,Privately Held,1001-5000,2499,2006,New York,New York,US,Sensor Bio - Clinical & Health Systems
Thirty Madison,https://www.linkedin.com/company/thirty-madison,thirtymadison.com,Hospitals and Health Care,Privately Held,501-1000,250,2017,-,-,US,Sensor Bio - Clinical & Health Systems
UCare,https://www.linkedin.com/company/ucare,ucare.org,Hospitals and Health Care,Nonprofit,1001-5000,1405,1984,Minneapolis,Minnesota,US,Sensor Bio - Clinical & Health Systems
GBMC HealthCare,https://www.linkedin.com/company/gbmchealthcare,gbmc.org,Hospitals and Health Care,Nonprofit,1001-5000,2646,1965,Baltimore,Maryland,US,Sensor Bio - Clinical & Health Systems
Kennedy Krieger Institute,https://www.linkedin.com/school/kennedy-krieger-institute,kennedykrieger.org,Hospitals and Health Care,Nonprofit,1001-5000,2784,1937,Baltimore,Maryland,US,Sensor Bio - Clinical & Health Systems
Access TeleCare,https://www.linkedin.com/company/access-telecare,accesstelecare.com,Hospitals and Health Care,Privately Held,501-1000,506,2004,Dallas,Texas,US,Sensor Bio - Clinical & Health Systems
TigerConnect,https://www.linkedin.com/company/tigerconnect,tigerconnect.com,Hospitals and Health Care,Privately Held,201-500,304,2010,El Segundo,California,US,Sensor Bio - Clinical & Health Systems
Baptist Health Care,https://www.linkedin.com/company/baptist-health-care,ebaptisthealthcare.org,Hospitals and Health Care,Nonprofit,1001-5000,2400,1951,Pensacola,Florida,US,Sensor Bio - Clinical & Health Systems
eMedEvents - Global Marketplace for CME/CE,https://www.linkedin.com/company/emedevents,emedevents.com,Hospitals and Health Care,Partnership,201-500,210,2015,Somerville,New Jersey,US,Sensor Bio - Clinical & Health Systems
Direct Supply,https://www.linkedin.com/company/direct-supply,directsupply.com,Hospitals and Health Care,Privately Held,1001-5000,1483,1985,Milwaukee,Wisconsin,US,Sensor Bio - Clinical & Health Systems
MCG Health,https://www.linkedin.com/company/mcg-part-of-the-hearst-health-network,mcg.com,Hospitals and Health Care,Privately Held,201-500,566,1988,Seattle,Washington,US,Sensor Bio - Clinical & Health Systems
NYC Health + Hospitals|Bellevue,https://www.linkedin.com/company/bellevue-hospital-center,nychealthandhospitals.org,Hospitals and Health Care,Nonprofit,1001-5000,1672,1736,New York,New York,US,Sensor Bio - Clinical & Health Systems
WellDyne,https://www.linkedin.com/company/welldynerx,welldyne.com,Hospitals and Health Care,Privately Held,501-1000,480,1990,Lakeland,Florida,US,Sensor Bio - Clinical & Health Systems
Regions Hospital,https://www.linkedin.com/company/regions_hospital,healthpartners.com,Hospitals and Health Care,Nonprofit,1001-5000,3849,1872,St. Paul,Minnesota,US,Sensor Bio - Clinical & Health Systems
SimonMed,https://www.linkedin.com/company/simonmed,simonmed.com,Hospitals and Health Care,Privately Held,1001-5000,1617,2003,Scottsdale,Arizona,US,Sensor Bio - Clinical & Health Systems
IVX Health,https://www.linkedin.com/company/ivx-health,ivxhealth.com,Hospitals and Health Care,Privately Held,501-1000,592,2013,Brentwood,Tennessee,US,Sensor Bio - Clinical & Health Systems
Catalyst Solutions,https://www.linkedin.com/company/catalyst-solutions-llc,catalystsolutions.com,Hospitals and Health Care,Privately Held,501-1000,293,1999,Greenwood Village,Colorado,US,Sensor Bio - Clinical & Health Systems
SYNERGEN Health,https://www.linkedin.com/company/synergen-health-llc,synergenhealth.com,Hospitals and Health Care,Privately Held,501-1000,745,2011,Dallas,Texas,US,Sensor Bio - Clinical & Health Systems
The HCI Group,https://www.linkedin.com/company/the-hci-group,thehcigroup.com,Hospitals and Health Care,Privately Held,1001-5000,527,-,Jacksonville,Florida,US,Sensor Bio - Clinical & Health Systems
JACC Journals,https://www.linkedin.com/company/jacc-journals,jacc.org,Hospitals and Health Care,Nonprofit,501-1000,25,-,Washington,District of Columbia,US,Sensor Bio - Clinical & Health Systems
Western Dental & Orthodontics,https://www.linkedin.com/company/western-dental-services,westerndental.com,Hospitals and Health Care,Privately Held,1001-5000,2115,1903,Orange,California,US,Sensor Bio - Clinical & Health Systems
MD Live by Evernorth,https://www.linkedin.com/company/mdlive-inc-,mdlive.com,Hospitals and Health Care,Public Company,201-500,503,2009,Miramar,Florida,US,Sensor Bio - Clinical & Health Systems
ImageFIRST,https://www.linkedin.com/company/imagefirst,imagefirst.com,Hospitals and Health Care,Privately Held,1001-5000,1339,1967,King Of Prussia,Pennsylvania,US,Sensor Bio - Clinical & Health Systems
CalOptima,https://www.linkedin.com/company/caloptima,caloptima.org,Hospitals and Health Care,Government Agency,1001-5000,1111,1993,Orange,California,US,Sensor Bio - Clinical & Health Systems
DentaQuest,https://www.linkedin.com/company/dentaquest,dentaquest.com,Hospitals and Health Care,Public Company,1001-5000,1373,2001,Wellesley Hills,Massachusetts,US,Sensor Bio - Clinical & Health Systems
Capital Health (US),https://www.linkedin.com/company/capital-health-us,capitalhealth.org,Hospitals and Health Care,Nonprofit,1001-5000,2426,-,Trenton,New Jersey,US,Sensor Bio - Clinical & Health Systems
ProHealth Care,https://www.linkedin.com/company/prohealth-care,prohealthcare.org,Hospitals and Health Care,Nonprofit,1001-5000,3236,1914,Waukesha,Wisconsin,US,Sensor Bio - Clinical & Health Systems
PharmaForce,https://www.linkedin.com/company/pharmaforcellc,thepharmaforce.com,Hospitals and Health Care,Privately Held,201-500,388,-,Conshohocken,Pennsylvania,US,Sensor Bio - Clinical & Health Systems
WellSense Health Plan,https://www.linkedin.com/company/wellsense-health-plan,wellsense.org,Hospitals and Health Care,Nonprofit,1001-5000,919,-,Boston,Massachusetts,US,Sensor Bio - Clinical & Health Systems
SimiTree,https://www.linkedin.com/company/simitree,simitreehc.com,Hospitals and Health Care,Privately Held,501-1000,383,2011,Hamden,Connecticut,US,Sensor Bio - Clinical & Health Systems
Comagine Health,https://www.linkedin.com/company/comaginehealth,comagine.org,Hospitals and Health Care,Nonprofit,201-500,312,1973,Seattle,Washington,US,Sensor Bio - Clinical & Health Systems
RAYUS Radiology,https://www.linkedin.com/company/rayus-radiology,rayusradiology.com,Hospitals and Health Care,Privately Held,1001-5000,2029,-,St Louis Park,Minnesota,US,Sensor Bio - Clinical & Health Systems
St. Luke's Hospital,https://www.linkedin.com/company/stlukesstl,stlukes-stl.com,Hospitals and Health Care,Nonprofit,1001-5000,4948,1866,Chesterfield,Missouri,US,Sensor Bio - Clinical & Health Systems
Al Nas Hospital,https://www.linkedin.com/company/al-nas-hospital,alnas-hospital.com,Hospitals and Health Care,Nonprofit,1001-5000,394,2019,-,-,US,Sensor Bio - Clinical & Health Systems
CME Corp.,https://www.linkedin.com/company/cme-medical,cmecorp.com,Hospitals and Health Care,Privately Held,201-500,323,1976,Warwick,Rhode Island,US,Sensor Bio - Clinical & Health Systems
MedHeave Asia,https://www.linkedin.com/company/medheave-asia,medheave.com,Hospitals and Health Care,Privately Held,201-500,169,2019,Boston,Massachusetts,US,Sensor Bio - Clinical & Health Systems
US Med-Equip,https://www.linkedin.com/company/us-med-equip-inc.,usme.com,Hospitals and Health Care,Privately Held,501-1000,509,2003,Houston,Texas,US,Sensor Bio - Clinical & Health Systems
Le Bonheur Children's Hospital,https://www.linkedin.com/company/lebonheurchildrens,lebonheur.org,Hospitals and Health Care,Nonprofit,1001-5000,1249,1952,Memphis,Tennessee,US,Sensor Bio - Clinical & Health Systems
MedReview Inc.,https://www.linkedin.com/company/medreviewinc,medreview.us,Hospitals and Health Care,Privately Held,201-500,261,1974,New York,New York,US,Sensor Bio - Clinical & Health Systems
VHC Health,https://www.linkedin.com/company/vhchealth,vhchealth.org,Hospitals and Health Care,Nonprofit,1001-5000,2366,1944,Arlington,Virginia,US,Sensor Bio - Clinical & Health Systems
HealthTrackRx,https://www.linkedin.com/company/healthtrackrx,healthtrackrx.com,Hospitals and Health Care,Privately Held,201-500,357,2010,Denton,Texas,US,Sensor Bio - Clinical & Health Systems
SmithRx,https://www.linkedin.com/company/smithrx,smithrx.com,Hospitals and Health Care,Privately Held,501-1000,612,2016,San Francisco,California,US,Sensor Bio - Clinical & Health Systems
"Pyramid Healthcare, Inc.",https://www.linkedin.com/company/pyramidhealthcareinc,pyramid-healthcare.com,Hospitals and Health Care,Privately Held,1001-5000,1291,1999,Duncansville,Pennsylvania,US,Sensor Bio - Clinical & Health Systems
CareAbout Health,https://www.linkedin.com/company/careabouthealth,careabout.com,Hospitals and Health Care,Privately Held,201-500,80,2021,New York City,New York,US,Sensor Bio - Clinical & Health Systems
Wellthy,https://www.linkedin.com/company/wellthy,wellthy.com,Hospitals and Health Care,Privately Held,201-500,323,2014,New York,New York,US,Sensor Bio - Clinical & Health Systems
EvergreenHealth,https://www.linkedin.com/company/evergreenhealth,evergreenhealth.com,Hospitals and Health Care,Nonprofit,1001-5000,3377,1972,Kirkland,Washington,US,Sensor Bio - Clinical & Health Systems
"Emerus Holdings, Inc.",https://www.linkedin.com/company/emerus,emerus.com,Hospitals and Health Care,Privately Held,1001-5000,694,2006,The Woodlands,Texas,US,Sensor Bio - Clinical & Health Systems
The George Washington University Hospital,https://www.linkedin.com/company/gwu-hospital,gwhospital.com,Hospitals and Health Care,Public Company,1001-5000,1976,-,Washington,District Of Columbia,US,Sensor Bio - Clinical & Health Systems
Coram CVS/specialty infusion services,https://www.linkedin.com/company/coram-healthcare,cvs.co,Hospitals and Health Care,Public Company,1001-5000,2117,-,Denver,Colorado,US,Sensor Bio - Clinical & Health Systems
Triage Staffing | Healthcare Staffing,https://www.linkedin.com/company/triagestaff,triagestaff.com,Hospitals and Health Care,Privately Held,201-500,1755,2006,Omaha,Nebraska,US,Sensor Bio - Clinical & Health Systems
ACGME,https://www.linkedin.com/company/acgme,acgme.org,Hospitals and Health Care,Nonprofit,201-500,358,1981,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems
Naples Comprehensive Health - NCH,https://www.linkedin.com/company/nchflorida,nchmd.org,Hospitals and Health Care,Nonprofit,1001-5000,2919,1956,Naples,Florida,US,Sensor Bio - Clinical & Health Systems
Ovation Healthcare,https://www.linkedin.com/company/ovation-healthcare,ovationhc.com,Hospitals and Health Care,Privately Held,1001-5000,473,-,Brentwood,Tennessee,US,Sensor Bio - Clinical & Health Systems
Mount Sinai Beth Israel,https://www.linkedin.com/company/beth-israel-medical-center,mountsinai.org,Hospitals and Health Care,Nonprofit,1001-5000,2524,-,-,-,US,Sensor Bio - Clinical & Health Systems
ICBD,https://www.linkedin.com/company/icbd-us,icbdholdings.com,Hospitals and Health Care,Privately Held,1001-5000,179,2019,Fort Lauderdale,Florida,US,Sensor Bio - Clinical & Health Systems
Best Buy Health,https://www.linkedin.com/company/best-buy-health,bestbuyhealth.com,Hospitals and Health Care,Public Company,1001-5000,1257,-,Boston,Massachusetts,US,Sensor Bio - Clinical & Health Systems
ArchWell Health,https://www.linkedin.com/company/archwell-health,archwellhealth.com,Hospitals and Health Care,Privately Held,1001-5000,1054,2020,Nashville,Tennessee,US,Sensor Bio - Clinical & Health Systems
EMPClaims,https://www.linkedin.com/company/empclaims,empclaims.com,Hospitals and Health Care,Privately Held,201-500,246,2008,Oak Brook,Illinois,US,Sensor Bio - Clinical & Health Systems
AMI Expeditionary Healthcare,https://www.linkedin.com/company/amiexpeditionaryhealthcare,ami.health,Hospitals and Health Care,Privately Held,501-1000,473,-,Reston,Virginia,US,Sensor Bio - Clinical & Health Systems
United Woundcare Institute,https://www.linkedin.com/company/united-woundcare-institute,unitedwounds.org,Hospitals and Health Care,Privately Held,501-1000,109,2021,Naperville,Illinois,US,Sensor Bio - Clinical & Health Systems
Astrana Health,https://www.linkedin.com/company/astranahealth,astranahealth.com,Hospitals and Health Care,Public Company,1001-5000,954,-,Alhambra,California,US,Sensor Bio - Clinical & Health Systems
Abdulrehman Algosaibi G.T.C,https://www.linkedin.com/company/abdulrehman-algosaibi-g-t-c,aralgosaibico.com,Hospitals and Health Care,Privately Held,1001-5000,704,-,-,-,US,Sensor Bio - Clinical & Health Systems
"Cloudmed, an R1 company",https://www.linkedin.com/company/cloudmedsolutions,cloudmed.com,Hospitals and Health Care,Privately Held,1001-5000,694,-,Atlanta,Georgia,US,Sensor Bio - Clinical & Health Systems
Children's Nebraska,https://www.linkedin.com/company/childrensnebraska,childrensnebraska.org,Hospitals and Health Care,Nonprofit,1001-5000,2290,1948,Omaha,Nebraska,US,Sensor Bio - Clinical & Health Systems
Cottage Health,https://www.linkedin.com/company/cottage-health,cottagehealth.org,Hospitals and Health Care,Nonprofit,1001-5000,2606,1888,Santa Barbara,California,US,Sensor Bio - Clinical & Health Systems
"Aspen Dental Management, Inc. (ADMI)",https://www.linkedin.com/company/aspen-dental-management-inc-admi-,aspendentaljobs.com,Hospitals and Health Care,Public Company,1001-5000,662,-,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems
Guardian Dentistry Partners,https://www.linkedin.com/company/guardiandentistrypartners,guardiandentistry.com,Hospitals and Health Care,Partnership,1001-5000,225,2018,Miami,-,US,Sensor Bio - Clinical & Health Systems
AHIMA International,https://www.linkedin.com/company/visit-ahima-international,ahima.org,Hospitals and Health Care,Nonprofit,501-1000,8,2016,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems
Air Evac Lifeteam,https://www.linkedin.com/company/air-evac-lifeteam,lifeteam.net,Hospitals and Health Care,Privately Held,1001-5000,1927,1985,Ofallon,Missouri,US,Sensor Bio - Clinical & Health Systems
Marquis Health Consulting Services,https://www.linkedin.com/company/marquis-health-services,mqshealth.com,Hospitals and Health Care,Partnership,1001-5000,845,2011,Brick,New Jersey,US,Sensor Bio - Clinical & Health Systems
Relatient,https://www.linkedin.com/company/relatient,relatient.com,Hospitals and Health Care,Privately Held,201-500,212,2012,Atlanta,Georgia,US,Sensor Bio - Clinical & Health Systems
Lucent Health,https://www.linkedin.com/company/lucent-health,lucenthealth.com,Hospitals and Health Care,Privately Held,201-500,357,2014,Nashville,Tennessee,US,Sensor Bio - Clinical & Health Systems
"AnnexMed, Inc",https://www.linkedin.com/company/annexmedrcm,annexmed.com,Hospitals and Health Care,Privately Held,1001-5000,777,2004,Salt Lake City,Utah,US,Sensor Bio - Clinical & Health Systems
Seattle Cancer Care Alliance,https://www.linkedin.com/company/seattle-cancer-care-alliance,seattlecca.org,Hospitals and Health Care,Nonprofit,1001-5000,809,2001,Seattle,Washington,US,Sensor Bio - Clinical & Health Systems
"SphereCommerce, LLC",https://www.linkedin.com/company/spherecommerce,spherecommerce.com,Hospitals and Health Care,Privately Held,201-500,184,2017,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems
US Fertility,https://www.linkedin.com/company/usfertility,usfertility.com,Hospitals and Health Care,Partnership,1001-5000,1653,-,Rockville,Maryland,US,Sensor Bio - Clinical & Health Systems
OncoHealth,https://www.linkedin.com/company/oncohealth,oncohealth.us,Hospitals and Health Care,Privately Held,201-500,224,2009,Atlanta,Georgia,US,Sensor Bio - Clinical & Health Systems
Massachusetts Eye and Ear,https://www.linkedin.com/company/massachusetts-eye-and-ear,masseyeandear.org,Hospitals and Health Care,Nonprofit,1001-5000,1528,1824,Boston,Massachusetts,US,Sensor Bio - Clinical & Health Systems
Somatus,https://www.linkedin.com/company/somatus-care,somatus.com,Hospitals and Health Care,Privately Held,501-1000,869,2016,Mclean,Virginia,US,Sensor Bio - Clinical & Health Systems
Holy Name Medical Center,https://www.linkedin.com/company/holyname,holyname.org,Hospitals and Health Care,Nonprofit,1001-5000,2406,1925,Teaneck,New Jersey,US,Sensor Bio - Clinical & Health Systems
"Quadax, Inc.",https://www.linkedin.com/company/quadax-inc-,quadax.com,Hospitals and Health Care,Privately Held,501-1000,750,1973,Cleveland,Ohio,US,Sensor Bio - Clinical & Health Systems
Aegis Sciences Corporation,https://www.linkedin.com/company/aegis-sciences-corporation,aegislabs.com,Hospitals and Health Care,Privately Held,501-1000,729,1990,Nashville,Tennessee,US,Sensor Bio - Clinical & Health Systems
