company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country,segment
Maplewood Senior Living,https://www.linkedin.com/company/maplewood-senior-living,maplewoodseniorliving.com,Hospitals and Health Care,Privately Held,1001-5000,624,2005,Westport,Connecticut,US,Sensor Bio - Clinical & Health Systems
San Ysidro Health,https://www.linkedin.com/company/san-ysidro-health,syhealth.org,Hospitals and Health Care,Nonprofit,1001-5000,1243,1969,San Diego,California,US,Sensor Bio - Clinical & Health Systems
Missouri Baptist Medical Center,https://www.linkedin.com/company/missouri-baptist-medical-center,missouribaptist.org,Hospitals and Health Care,Nonprofit,1001-5000,1522,-,St. Louis,Missouri,US,Sensor Bio - Clinical & Health Systems
SGMC Health,https://www.linkedin.com/company/sgmchealth,sgmc.org,Hospitals and Health Care,Nonprofit,1001-5000,1828,-,Valdosta,Georgia,US,Sensor Bio - Clinical & Health Systems
TrueCare,https://www.linkedin.com/company/health-truecare,truecare.org,Hospitals and Health Care,Nonprofit,501-1000,697,1971,San Marcos,California,US,Sensor Bio - Clinical & Health Systems
Owensboro Health,https://www.linkedin.com/company/owensboro-health,owensborohealth.org,Hospitals and Health Care,Nonprofit,1001-5000,2467,-,Owensboro,Kentucky,US,Sensor Bio - Clinical & Health Systems
Stormont Vail Health,https://www.linkedin.com/company/stormont-vail-healthcare,stormontvail.org,Hospitals and Health Care,Nonprofit,1001-5000,2753,1884,Topeka,Kansas,US,Sensor Bio - Clinical & Health Systems
Amphibious Medics,https://www.linkedin.com/company/amphibious-medics,amphibiousmedics.com,Hospitals and Health Care,Privately Held,201-500,446,2001,Orlando,Florida,US,Sensor Bio - Clinical & Health Systems
Methodist Hospitals,https://www.linkedin.com/company/methodist-hospitals,methodisthospitals.org,Hospitals and Health Care,Nonprofit,1001-5000,2507,1923,Gary,Indiana,US,Sensor Bio - Clinical & Health Systems
Saint Barnabas Medical Center,https://www.linkedin.com/company/saintbarnabasnj,rwjbh.org,Hospitals and Health Care,Nonprofit,1001-5000,1086,1865,Livingston,New Jersey,US,Sensor Bio - Clinical & Health Systems
WellStar Atlanta Medical Center,https://www.linkedin.com/company/atlantamedicalcenter,wellstar.org,Hospitals and Health Care,Public Company,1001-5000,937,-,-,-,US,Sensor Bio - Clinical & Health Systems
Jefferson Health - Northeast,https://www.linkedin.com/company/aria-health,jeffersonhealth.org,Hospitals and Health Care,Self-Owned,1001-5000,1493,-,Philadelphia,Pennsylvania,US,Sensor Bio - Clinical & Health Systems
RMA of New York,https://www.linkedin.com/company/reproductive-medicine-associates-of-new-york,rmany.com,Hospitals and Health Care,Partnership,201-500,260,2001,New York,New York,US,Sensor Bio - Clinical & Health Systems
Dallas Medical Center,https://www.linkedin.com/company/dallas-medical-center,dallasmedcenter.com,Hospitals and Health Care,Privately Held,501-1000,255,-,Dallas,Texas,US,Sensor Bio - Clinical & Health Systems
MedQuest Imaging,https://www.linkedin.com/company/medquest-associates,mqimaging.com,Hospitals and Health Care,Privately Held,1001-5000,507,1996,Alpharetta,Georgia,US,Sensor Bio - Clinical & Health Systems
Nobility RCM,https://www.linkedin.com/company/nobilityrcm,nobilityrcm.com,Hospitals and Health Care,Privately Held,201-500,99,2014,Scottsdale,Arizona,US,Sensor Bio - Clinical & Health Systems
Robert Wood Johnson University Hospital Hamilton,https://www.linkedin.com/company/rwjuh-hamilton,linktr.ee,Hospitals and Health Care,Nonprofit,1001-5000,487,1971,Hamilton,New Jersey,US,Sensor Bio - Clinical & Health Systems
