name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Husco,husco.com,https://www.linkedin.com/company/husco,Industrial Machinery Manufacturing,Privately Held,1001-5000,31656,1946,Waukesha,Wisconsin,United States,https://www.husco.com
Martin Marietta,martinmarietta.com,https://www.linkedin.com/company/martinmariettamaterials,Mining and Metals,Public Company,5001-10000,31617,1993,Raleigh,North Carolina,United States,https://www.martinmarietta.com
RS Americas,rs-online.com,https://www.linkedin.com/company/rs-americas,Automation Machinery Manufacturing,Public Company,1001-5000,31256,1928,Fort Worth,Texas,United States,https://us.rs-online.com
GKN Powder Metallurgy,gknpm.com,https://www.linkedin.com/company/gknpowdermetallurgy,Industrial Machinery Manufacturing,Public Company,5001-10000,31228,,Solihull,,United Kingdom,https://www.gknpm.com
FLANDERS,flandersinc.com,https://www.linkedin.com/company/flanders,Industrial Machinery Manufacturing,Privately Held,501-1000,30577,1947,Evansville,Indiana,United States,https://www.flandersinc.com
Crosby,kitocrosby.com,https://www.linkedin.com/company/thecrosbygroup,Machinery Manufacturing,Privately Held,1001-5000,30516,,Longview,Texas,United States,https://www.kitocrosby.com/crosby
Ocado Intelligent Automation,ocadointelligentautomation.com,https://www.linkedin.com/company/ocadointelligentautomation,Automation Machinery Manufacturing,Public Company,5001-10000,30448,,Hatfield,,United Kingdom,https://ocadointelligentautomation.com
Honeywell Sundyne,sundyne.com,https://www.linkedin.com/company/sundyne-corporation,Industrial Machinery Manufacturing,Privately Held,501-1000,30430,,Arvada,Colorado,United States,https://www.sundyne.com
Camso,camso.co,https://www.linkedin.com/company/camso,Machinery Manufacturing,Privately Held,5001-10000,30249,,Magog,Québec,Canada,https://www.camso.co
Instron,instron.com,https://www.linkedin.com/company/instron,Industrial Machinery Manufacturing,Public Company,1001-5000,30145,,Norwood,Massachusetts,United States,https://www.instron.com
Sheffield Forgemasters,sheffieldforgemasters.com,https://www.linkedin.com/company/sheffield-forgemasters,Industrial Machinery Manufacturing,Privately Held,501-1000,30142,1988,Sheffield,South Yorkshire,United Kingdom,https://www.sheffieldforgemasters.com
IRISNDT,irisndt.com,https://www.linkedin.com/company/irisndt,Industrial Machinery Manufacturing,Privately Held,10001+,29881,1953,Edmonton,Alberta,Canada,https://www.irisndt.com
Uhlmann Pac-Systeme,uhlmann.de,https://www.linkedin.com/company/uhlmann-pac-systeme,Industrial Machinery Manufacturing,Privately Held,1001-5000,29599,1948,Laupheim,Baden Wuerttemberg,Germany,https://www.uhlmann.de
Valco Melton,valcomelton.com,https://www.linkedin.com/company/valco-melton,Machinery Manufacturing,Privately Held,501-1000,29557,1952,Cincinnati,Ohio,United States,https://valcomelton.com
Walter Surface Technologies,walter.com,https://www.linkedin.com/company/walter-surface-technologies,Industrial Machinery Manufacturing,Privately Held,501-1000,29548,1952,Pointe-claire,Québec,Canada,https://www.walter.com
Trützschler Group,truetzschler.com,https://www.linkedin.com/company/truetzschler-group,Machinery Manufacturing,Public Company,1001-5000,29423,,Mönchengladbach,,Germany,https://www.truetzschler.com
thyssenkrupp Polysius,thyssenkrupp-polysius.com,https://www.linkedin.com/company/thyssenkrupp-polysius,Industrial Machinery Manufacturing,Public Company,1001-5000,29457,,Beckum,Nrw,Germany,https://www.thyssenkrupp-polysius.com/en
Ishida Europe Ltd,ishidaeurope.com,https://www.linkedin.com/company/ishida-europe-ltd,Machinery Manufacturing,Privately Held,501-1000,29356,1893,Birmingham,West Midlands,United Kingdom,https://www.ishidaeurope.com
Eriez,eriez.com,https://www.linkedin.com/company/eriez,Machinery Manufacturing,Privately Held,501-1000,29296,1942,Erie,Pennsylvania,United States,https://www.eriez.com
ROMACO GROUP,romaco.com,https://www.linkedin.com/company/romaco,Machinery Manufacturing,Public Company,501-1000,29242,,Karlsruhe,Bw,Germany,https://www.romaco.com
Sumitomo Shi Demag,sumitomo-shi-demag.eu,https://www.linkedin.com/company/sumitomo-shi-demag,Machinery Manufacturing,Self-Owned,1001-5000,29234,1970,Schwaig,,Germany,https://www.sumitomo-shi-demag.eu
Heller Machine Tools,heller.biz,https://www.linkedin.com/company/heller-machine-tool,Machinery Manufacturing,Privately Held,1001-5000,29078,1894,Troy,Michigan,United States,https://us.heller.biz
Mark Andy Inc.,markandy.com,https://www.linkedin.com/company/mark-andy,Machinery Manufacturing,Privately Held,501-1000,28944,1946,Chesterfield,Missouri,United States,https://www.markandy.com
DN Solutions America,dn-solutions.com,https://www.linkedin.com/company/dnsolutionsamerica,Machinery Manufacturing,Privately Held,1001-5000,28864,1976,Schaumburg,Illinois,United States,https://www.dn-solutions.com
Ditch Witch,ditchwitch.com,https://www.linkedin.com/company/ditch-witch,Machinery Manufacturing,Public Company,1001-5000,28861,,Perry,Oklahoma,United States,https://www.ditchwitch.com
ATS Industrial Automation,atsindustrialautomation.com,https://www.linkedin.com/company/atsindustrialautomation,Automation Machinery Manufacturing,Public Company,1001-5000,28764,,Cambridge,Ontario,Canada,https://atsindustrialautomation.com
Sullair,sullair.com,https://www.linkedin.com/company/sullair-llc,Machinery Manufacturing,Public Company,501-1000,28653,,Michigan City,Indiana,United States,https://www.sullair.com
Hyperion Materials & Technologies,hyperionmt.com,https://www.linkedin.com/company/hyperion-materials-and-technologies,Industrial Machinery Manufacturing,Privately Held,1001-5000,28552,2018,Worthington,Ohio,United States,https://www.hyperionmt.com
KHD Humboldt Wedag,khd.com,https://www.linkedin.com/company/khd-humboldt-wedag,Industrial Machinery Manufacturing,Public Company,501-1000,28383,1856,Cologne,,Germany,https://www.khd.com
Logisnext Americas Inc.,logisnextamericas.com,https://www.linkedin.com/company/logisnext-americas,Machinery Manufacturing,Privately Held,1001-5000,28101,,Houston,Texas,United States,https://www.logisnextamericas.com
Price Industries,priceindustries.com,https://www.linkedin.com/company/price-industries,Industrial Machinery Manufacturing,Privately Held,1001-5000,28104,1949,Winnipeg,Manitoba,Canada,https://www.priceindustries.com
SCHOTTEL,schottel.de,https://www.linkedin.com/company/schottel,Machinery Manufacturing,Privately Held,501-1000,27942,1921,,,Germany,https://www.schottel.de
