company_name,standardised_domain,company_linkedin_tag,geography,company_size,industry
EQUITAS ACADEMY CHARTER SCHOOL INC,equitasacademy.org,,"Los Angeles, CA","#501-1,000#",
San Diego County Office Of Education,sdcoe.net,,"San Diego, CA","#1,001-5,000#",
Princeton Staffing Solutions,princetonstaffing.com,,"Surprise, AZ",#11-50#,
Antelope Valley Union High School District,avdistrict.org,,"Los Angeles, CA","#1,001-5,000#",
Cherry Hill Free Clinic,cherryhillfreeclinic.org,,"San Diego, CA",#11-50#,
Colusa County Office of Education Children's Services,ccoe.org,,"Colusa, CA",#51-200#,
CenterWell Primary Care,centerwell.com,,"Arizona City, AZ","#1,001-5,000#",
Onvida Health,onvidahealth.org,,"Yuma, AZ","#1,001-5,000#",
Encompass Health Rehabilitation Hospital of Northwest Tucson,encompasshealth.com,,"Rillito, AZ",#51-200#,
Encompass Health Rehabilitation Hospital of Northwest Tucson,encompasshealth.com,,"Arizona City, AZ","#10,000+#",
Phoenix Elementary School District #1,phxschools.org,,"Phoenix, AZ","#501-1,000#",
Princeton School Solutions,princetonschoolsolutions.com,,Arizona,"#1,001-5,000#",
Northern Arizona University,nau.edu,,"Flagstaff, AZ","#1,001-5,000#",
Voices College-Bound Language Academies,voicescharterschool.com,,"San Jose, CA",#201-500#,
Tucson Unified School District,tusd1.org,,"Tucson, AZ (+1 other)","#5,001-10,000#",
Special Education,vallejo.k12.ca.us,,"Vallejo, CA","#1,001-5,000#",
AB Staffing Solutions,abstaffingsolutions.com,,"Surprise, AZ","#501-1,000#",
Orange County Department of Education,ocde.us,,"Costa Mesa, CA","#1,001-5,000#",
Elk Grove Unified School District,egusd.net,,"Elk Grove, CA","#5,001-10,000#",
School Administrative Unit 61 Farmington,farmington.k12.nh.us,,"San Jacinto, CA","#501-1,000#",
Tehachapi Unified School District,tehachapiusd.com,,"Tehachapi, CA","#1,001-5,000#",
San Francisco Unified School District,sfusd.edu,,"San Francisco, CA","#1,001-5,000#",
Greenfield Union School District,greenfield.k12.ca.us,,California,"#5,001-10,000#",
Ednovate Inc,ednovate.org,,"Los Angeles, CA","#501-1,000#",
KIPP Public Schools Northern California,kippnorcal.org,,"San Francisco, CA","#501-1,000#",
Stockton Unified School District,stocktonusd.net,,"Stockton, CA","#1,001-5,000#",
McFarland Unified School District,mcfarlandusd.com,,"McFarland, CA","#501-1,000#",
The Stepping Stones Group,thesteppingstonesgroup.com,,"Pomona, CA","#1,001-5,000#",
Positive Behavior Supports Corporation,teampbs.com,,"Piñon Hills, CA","#501-1,000#",
State Teachers' Retirement System,calstrs.com,,"Sacramento, CA","#1,001-5,000#",
Saratoga Retirement Community,saratogaretirement.org,,"Saratoga, CA",#51-200#,
JPL/NASA,jpl.nasa.gov,,"Pasadena, CA","#5,001-10,000#",
Spectrum Center Schools and Programs,spectrumschools.com,,"Huntington Beach, CA","#501-1,000#",
Sunny Days,sunnydays.com,,"Costa Mesa, CA","#1,001-5,000#",
Sutter Health,sutterhealth.org,,"Crescent City, CA","#10,000+#",
