name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Enterprise Car Sales,enterprisecarsales.com,https://www.linkedin.com/company/enterprise-car-sales,Automotive,Privately Held,10001+,10593,,St. Louis,Missouri,United States,https://www.enterprisecarsales.com
Larry H. Miller Dealerships,lhmauto.com,https://www.linkedin.com/company/larry-h-miller-dealerships,Motor Vehicle Manufacturing,Privately Held,1001-5000,10493,1979,Sandy,Utah,United States,https://www.lhmauto.com
Meridian Lightweight Technologies Inc.,meridian-mag.com,https://www.linkedin.com/company/meridian-lightweight-technologies,Motor Vehicle Manufacturing,Privately Held,1001-5000,10336,1981,Strathroy,Ontario,Canada,https://www.meridian-mag.com
Saturn Electronics & Engineering,saturnee.com,https://www.linkedin.com/company/saturn-electronics-&-engineering,Automotive,Privately Held,1001-5000,10292,1985,Rochester Hills,Michigan,United States,https://www.saturnee.com
Remy International,remyinc.com,https://www.linkedin.com/company/remy-international,Motor Vehicle Manufacturing,Public Company,5001-10000,10203,1896,Pendleton,Indiana,United States,https://remyinc.com
Demers Ambulances,demers-ambulances.com,https://www.linkedin.com/company/demers-ambulances,Motor Vehicle Manufacturing,Privately Held,1001-5000,10197,1960,Beloeil,Québec,Canada,https://www.demers-ambulances.com
The Parts House,thepartshouse.com,https://www.linkedin.com/company/the-parts-house,Motor Vehicle Manufacturing,Privately Held,1001-5000,10111,1970,Jacksonville,Florida,United States,https://www.thepartshouse.com
Ic Bus,icbus.com,https://www.linkedin.com/company/icbus,Motor Vehicle Manufacturing,Public Company,10001+,10108,,Lisle,Illinois,United States,https://www.icbus.com
Eagle Ottawa,eagleottawa.com,https://www.linkedin.com/company/eagle-ottawa,Motor Vehicle Manufacturing,Public Company,10001+,10107,1865,Auburn Hills,Michigan,United States,https://www.eagleottawa.com
Park Place Dealerships,parkplace.com,https://www.linkedin.com/company/park-place-dealerships,Automotive,Privately Held,1001-5000,10006,,Irving,Texas,United States,https://www.parkplace.com
NexaMotion Group,nexamotiongroup.com,https://www.linkedin.com/company/nexamotiongroup,Motor Vehicle Manufacturing,Privately Held,1001-5000,9900,1975,Cleveland,Ohio,United States,https://www.nexamotiongroup.com
Zanchin Automotive Group,zanchinauto.com,https://www.linkedin.com/company/zanchin-automotive-group,Motor Vehicle Manufacturing,Privately Held,1001-5000,9910,1973,Woodbridge,Ontario,Canada,https://www.zanchinauto.com
