name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
The Russ Darrow Group,russdarrowjobs.com,https://www.linkedin.com/company/russ-darrow,Automotive,Privately Held,1001-5000,2308,1965,Menomonee Falls,Wisconsin,United States,https://russdarrowjobs.com
"Unipres Usa, Inc",unipres.com,https://www.linkedin.com/company/unipres-usa-inc.,Automotive,Privately Held,501-1000,2307,1987,Portland,Tennessee,United States,https://www.unipres.com
U.S. Manufacturing,usmfg.com,https://www.linkedin.com/company/u.s.-manufacturing,Motor Vehicle Manufacturing,Privately Held,501-1000,2283,1964,Warren,Michigan,United States,https://usmfg.com
Tribar Technologies Inc,tribar.com,https://www.linkedin.com/company/tribartechnologies,Automotive,Privately Held,501-1000,2281,1995,Wixom,Michigan,United States,https://www.tribar.com
Baker Auto Group,bettenbaker.com,https://www.linkedin.com/company/bakerautogroup,Motor Vehicle Manufacturing,Public Company,501-1000,2281,1973,Coopersville,Michigan,United States,https://www.bettenbaker.com
LAcarGUY,lacarguy.com,https://www.linkedin.com/company/lacarguy,Motor Vehicle Manufacturing,Privately Held,501-1000,2267,1964,Manhattan Beach,California,United States,https://www.lacarguy.com
Airtex Asc Performance Pumps,airtexasc.com,https://www.linkedin.com/company/asc-industries-inc.,Motor Vehicle Manufacturing,Privately Held,501-1000,2267,1935,North Canton,Ohio,United States,https://www.airtexasc.com
"Daicel Safety Systems Americas, Inc",daicel.com,https://www.linkedin.com/company/daicel-safety-systems-america,Motor Vehicle Manufacturing,Public Company,501-1000,2255,2000,Mesa,Arizona,United States,https://www.daicel.com/safety/en
Bmw Car Club Of America,bmwcca.org,https://www.linkedin.com/company/bmw-car-club-of-america,Motor Vehicle Manufacturing,Nonprofit,10001+,2238,1969,Greer,South Carolina,United States,https://www.bmwcca.org
Oshkosh Delivery,oshkoshngdv.com,https://www.linkedin.com/company/oshkosh-delivery,Motor Vehicle Manufacturing,Public Company,501-1000,2230,-,Spartanburg,South Carolina,United States,https://oshkoshngdv.com
Bergey's,bergeys.com,https://www.linkedin.com/company/bergey's,Motor Vehicle Manufacturing,Privately Held,1001-5000,2216,1924,Souderton,Pennsylvania,United States,https://www.bergeys.com
"Vuteq Usa, Inc",vutequsa.com,https://www.linkedin.com/company/vuteq-usa-inc.,Motor Vehicle Manufacturing,Privately Held,1001-5000,2213,1987,Georgetown,Kentucky,United States,https://www.vutequsa.com
Metokote Corporation,ppgcoatingsservices.com,https://www.linkedin.com/company/metokote-corporation,Motor Vehicle Manufacturing,Privately Held,1001-5000,2191,1969,Lima,Ohio,United States,https://www.ppgcoatingsservices.com
R.H. Sheppard Co. Inc.,rhsheppard.com,https://www.linkedin.com/company/rh-sheppard,Motor Vehicle Manufacturing,Public Company,501-1000,2190,1937,Hanover,Pennsylvania,United States,https://www.rhsheppard.com
Ahresty Wilmington Corporation,ahresty.com,https://www.linkedin.com/company/ahresty-wilmington-corporation,Motor Vehicle Manufacturing,Public Company,501-1000,2178,1988,Wilmington,Ohio,United States,https://www.ahresty.com
Saturn,saturn.com,https://www.linkedin.com/company/saturn,Motor Vehicle Manufacturing,Privately Held,5001-10000,2173,1985,Spring Hill,Tennessee,United States,https://www.saturn.com
Auffenberg Dealer Group,auffenberg.com,https://www.linkedin.com/company/auffenberg-dealer-group,Motor Vehicle Manufacturing,Privately Held,501-1000,2162,1942,Shiloh,Illinois,United States,https://www.auffenberg.com
Systems Protection,systemsprotection.com,https://www.linkedin.com/company/systems-protection,Motor Vehicle Parts Manufacturing,Privately Held,1001-5000,2154,-,Exton,Pennsylvania,United States,https://www.systemsprotection.com
Atlantic Auto Group,nyautogiant.com,https://www.linkedin.com/company/atlantic-auto-group_2,Motor Vehicle Manufacturing,Privately Held,1001-5000,2153,-,West Islip,New York,United States,https://www.nyautogiant.com
Rehau Automotive Llc,rehau.com,https://www.linkedin.com/company/rehau-automotive-llc,Automotive,Privately Held,501-1000,2124,-,Leesburg,Virginia,United States,https://www.rehau.com
"Hyundai MOBIS Alabama, LLC-Savannah Plant",mobissavannah.com,https://www.linkedin.com/company/hyundai-mobis-alabama-llc-savannah-plant,Motor Vehicle Manufacturing,Public Company,1001-5000,2124,-,Savannah,Georgia,United States,https://www.mobissavannah.com
Phil Long Dealerships,phillong.com,https://www.linkedin.com/company/phil-long-dealerships,Motor Vehicle Manufacturing,Privately Held,1001-5000,2117,1945,Colorado Springs,Colorado,United States,https://phillong.com
Greensboro Auto Auction,greensboroaa.com,https://www.linkedin.com/company/greensboro-auto-auction,Automotive,Privately Held,501-1000,2117,1986,Greensboro,North Carolina,United States,https://www.greensboroaa.com
Arvin Sango Inc,arvinsango.com,https://www.linkedin.com/company/arvin-sango-inc,Motor Vehicle Manufacturing,Public Company,501-1000,2113,-,Madison,Indiana,United States,https://www.arvinsango.com
Fletcher Jones Automotive Group,fletcherjones.com,https://www.linkedin.com/company/fletcher-jones,Motor Vehicle Manufacturing,Privately Held,1001-5000,2110,1946,Newport Beach,California,United States,https://www.fletcherjones.com
Tasca Automotive Group,tasca.com,https://www.linkedin.com/company/tasca-automotive-group,Motor Vehicle Manufacturing,Privately Held,501-1000,2150,1943,Cranston,Rhode Island,United States,https://www.tasca.com
Hyundai Transys Georgia Powertrain,adp.com,https://www.linkedin.com/company/hyundai-transys-georgia-powertrain,Motor Vehicle Manufacturing,Public Company,501-1000,2070,2008,West Point,Georgia,United States,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html
Brc Rubber & Plastics Inc,brcrp.com,https://www.linkedin.com/company/brc-rubber-&-plastics-inc,Automotive,Privately Held,501-1000,2069,1973,Fort Wayne,Indiana,United States,https://www.brcrp.com
"Uacj Automotive Whitehall Industries, Inc",whitehallindustries.com,https://www.linkedin.com/company/whitehall-industries,Motor Vehicle Parts Manufacturing,Public Company,1001-5000,2061,1974,Ludington,Michigan,United States,https://www.whitehallindustries.com
Groupe Beaucage,groupebeaucage.com,https://www.linkedin.com/company/groupe-beaucage,Motor Vehicle Manufacturing,Public Company,501-1000,2056,1992,Sherbrooke,Québec,Canada,https://www.groupebeaucage.com
Plasan Carbon Composites,plasancarbon.com,https://www.linkedin.com/company/plasan-carbon-composites,Motor Vehicle Manufacturing,Privately Held,501-1000,2051,-,Grand Rapids,Michigan,United States,https://www.plasancarbon.com
Myers Automotive Group,myers.ca,https://www.linkedin.com/company/myers-automotive,Motor Vehicle Manufacturing,Partnership,1001-5000,2048,1942,Ottawa,Ontario,Canada,https://www.myers.ca
RIDE Mobility,ride.co,https://www.linkedin.com/company/ride-co,Motor Vehicle Manufacturing,Privately Held,501-1000,2039,2023,Pasadena,California,United States,https://ride.co
Spartan Specialty Vehicles,spartanrvchassis.com,https://www.linkedin.com/company/spartanrv,Motor Vehicle Manufacturing,Public Company,501-1000,2037,-,Charlotte,Michigan,United States,https://www.spartanrvchassis.com
"T.Rad North America, Inc",tradna.com,https://www.linkedin.com/company/t-rad-north-america,Motor Vehicle Manufacturing,Privately Held,501-1000,2034,1988,Hopkinsville,Kentucky,United States,https://www.tradna.com
Nisshinbo Automotive Mfg Inc,nisshinbo.co.jp,https://www.linkedin.com/company/nisshinbo-automotive-mfg-inc,Motor Vehicle Parts Manufacturing,Public Company,10001+,2032,1907,Covington,Georgia,United States,https://www.nisshinbo.co.jp/english/index.html
Rassini International,rassini.com,https://www.linkedin.com/company/r4tech-suspension,Motor Vehicle Manufacturing,Public Company,1001-5000,2026,-,Plymouth,-,United States,https://www.rassini.com/eng
Young Automotive Group,youngautomotive.com,https://www.linkedin.com/company/young-automotive-group,Automotive,Privately Held,501-1000,2018,-,Layton,Utah,United States,https://www.youngautomotive.com
"Dyna-Mig Manufacturing Of Stratford, Inc",dynamig.com,https://www.linkedin.com/company/dynamig-stratford,Motor Vehicle Manufacturing,Privately Held,1001-5000,2013,1997,Stratford,Ontario,Canada,https://dynamig.com
Boucher Automotive Group,boucher.com,https://www.linkedin.com/company/boucherautogroup,Motor Vehicle Manufacturing,Privately Held,1001-5000,2011,1977,Greenfield,Wisconsin,United States,https://boucher.com
