segment,name,domain,linkedin,naics,is_mfg,about,source
Astec-like,MasTec,mastec.com,https://www.linkedin.com/company/mas-tec,"237110,423810,541990",False,MasTec companies have been involved in some of the largest and most complex infrastructure construction projects across the country.   Our experience ,AI Ark lookalike + NAICS filter
Astec-like,TMS,trimblems.com,https://www.linkedin.com/company/tms,"423430,541990,423440",False,"Trimble Mobile Solutions, aka Trimble Mobile Resource Management, is a division of Trimble Navigation, Ltd.",AI Ark lookalike + NAICS filter
Astec-like,County of Los Angeles Department of Public Works,lacounty.gov,https://www.linkedin.com/company/los-angeles-county-department-of-public-works,"921110,541690,541620",False,"We plan, design, build, and maintain modern infrastructure that uplifts all communities of LA County.",AI Ark lookalike + NAICS filter
Astec-like,MANITOU Group,manitou-group.com,https://www.linkedin.com/company/manitougroup,"424990,541618",False,"Commitment, reliability, passion. Our 3 core values to help you Set your future in motion.",AI Ark lookalike + NAICS filter
Astec-like,Purvis Industries,purvisindustries.com,https://www.linkedin.com/company/purvis-industries,"423840,423120,334512,333613",True,"As the leadership organization for twelve strategic business units, Purvis Industries is well equipped to ensure our customers get the right products ",AI Ark lookalike + NAICS filter
Astec-like,HAZEMAG,hazemag.com,https://www.linkedin.com/company/hazemag-&-epr-gmbh-duelmen,"541715,333517,541330",True,"HAZEMAG – Experience. Innovation. Results.  For over 75 years, HAZEMAG has been at the forefront of industrial technology, providing pioneering soluti",AI Ark lookalike + NAICS filter
Astec-like,Amplia Infrastructures,ampliaspa.it,https://www.linkedin.com/company/amplia-infrastructures,"237310,423810,324121",True,"vimental has over 40 years experience in the construction, maintenance and upgrading of roads, motorways, bridges, viaducts, service areas and airport",AI Ark lookalike + NAICS filter
Astec-like,Arnold Machinery Company,arnoldmachinery.com,https://www.linkedin.com/company/arnold-machinery-company,"423110,423810,423830,811310",False,"Arnold Machinery Company is a leading equipment distributor for the mining, construction, material handling and agricultural implement industries. We ",AI Ark lookalike + NAICS filter
Astec-like,Epiroc,epiroc.com,https://www.linkedin.com/company/epiroc,"237990,541330,334515",True,Performance to succeed today.  Technology to lead tomorrow.  Epiroc is your partner for mining and infrastructure equipment.  We're excited to build o,AI Ark lookalike + NAICS filter
Astec-like,VolkerWessels,volkerwessels.com,https://www.linkedin.com/company/volkerwessels,237310,False,"VolkerWessels is a leading international company that operates according to the 'think global, act local'​ principle. VolkerWessels is active in the N",AI Ark lookalike + NAICS filter
Astec-like,Cascade Corporation,cascorp.com,https://www.linkedin.com/company/cascade,"333120,333924,423830,333922",True,"Cascade Corporation is a global leader in the design, manufacture and marketing of materials handling equipment and related technologies.  As Cascad",AI Ark lookalike + NAICS filter
Astec-like,"EMCOR Group, Inc.",emcorgroup.com,https://www.linkedin.com/company/emcor-group-inc,"524126,811412",False,"A Fortune 500® company and a member of the S&P 500, EMCOR Group, Inc. (NYSE: EME) is a leader in mechanical and electrical construction, industrial an",AI Ark lookalike + NAICS filter
Astec-like,Heidelberg Materials,heidelbergmaterials.com,https://www.linkedin.com/company/heidelbergmaterials,"327310,423390,237310",True,Heidelberg Materials is one of the world's largest integrated manufacturers of heavy building materials and solutions with leading market positions in,AI Ark lookalike + NAICS filter
Astec-like,Sunrock,thesunrockgroup.com,https://www.linkedin.com/company/sunrock-industries,"324121,423320,327320",True,"Headquartered in Raleigh, NC, Sunrock Industries is a leading privately held construction materials supplier. As a vertically integrated company, we p",AI Ark lookalike + NAICS filter
Astec-like,Skanska,skanska.com,https://www.linkedin.com/company/skanska,"561499,541512,237310",False,"Skanska Group uses knowledge & foresight to shape the way people live, work, and connect. More than 138 years in the making, we’re one of the world’s ",AI Ark lookalike + NAICS filter
Astec-like,Balfour Beatty plc,balfourbeatty.com,https://www.linkedin.com/company/balfour-beatty-plc,"541330,237310,236116,237990",False,"Balfour Beatty is a leading international infrastructure group. With 27,000 employees, we are driving the delivery of powerful new solutions, shaping ",AI Ark lookalike + NAICS filter
