segment,name,domain,linkedin,naics,is_mfg,about,source
Astec-like,Ledcor,ledcor.com,https://www.linkedin.com/company/ledcor,"541618,236220,213112",False,"The Ledcor Group of Companies is one of North America’s most diversified construction companies, serving the building, heavy industrial, civil and Inf",AI Ark lookalike + NAICS filter
Astec-like,"CCC Group, Inc.",cccgroupinc.com,https://www.linkedin.com/company/ccc-group-inc.,"236210,332312,237990",True,"CCC Group, Inc. is a nationally-ranked heavy industrial general contractor with over 1,500 employees and six domestic and two international offices.  ",AI Ark lookalike + NAICS filter
Astec-like,Eiffage Construction,eiffageconstruction.com,https://www.linkedin.com/company/eiffage-construction,"236116,236115,236220",False,"Eiffage Construction (www.eiffageconstruction.com), acteur majeur du BTP en Europe et filiale du groupe Eiffage, réunit l’ensemble des métiers liés à ",AI Ark lookalike + NAICS filter
Astec-like,Snap-on,snapon.com,https://www.linkedin.com/company/snap-on,"441110,333998",True,"Snap-on Incorporated is a leading global innovator, manufacturer, and marketer of tools, equipment, diagnostics, repair information and systems soluti",AI Ark lookalike + NAICS filter
Astec-like,BKW Engineering,bkw-engineering.com,https://www.linkedin.com/company/bkw-engineering,"541330,541511,541512",False,"Das BKW Engineering - Network of Excellence® ist der größte Zusammenschluss unabhängiger Ingenieur-, Architektur-, Gutachter- und Prüfunternehmen in d",AI Ark lookalike + NAICS filter
Astec-like,FAYAT BATIMENT,fayat.com,https://www.linkedin.com/company/fayatbatiment,"236115,236116,236220",False,"Acteur majeur de la construction en France, la Division FAYAT Bâtiment, adossée au Groupe FAYAT, conçoit, réalise et exploite des ouvrages qui contrib",AI Ark lookalike + NAICS filter
Astec-like,Legendre,groupe-legendre.com,https://www.linkedin.com/company/groupe-legendre,"624310,237210,561720",False,"Fondé en 1946, le groupe Legendre est un acteur européen de la construction, de l’immobilier, de l’énergie et de l’exploitation. Il est aujourd’hui di",AI Ark lookalike + NAICS filter
Astec-like,The Heritage Group,thgrp.com,https://www.linkedin.com/company/the-heritage-group,"518210,551112,541330,541690",False,"The Heritage Group started in 1930 with a man, a truck and a dream. Today, we’re a fourth-generation, family-owned business, managing a diverse portfo",AI Ark lookalike + NAICS filter
Astec-like,Aecon Group Inc.,aecon.com,https://www.linkedin.com/company/aecon,"551112,236210,237310,237110",False,Aecon Group Inc. (TSX: ARE) is a North American construction and infrastructure development company with global experience. Aecon delivers integrated ,AI Ark lookalike + NAICS filter
Astec-like,Carter Machinery,cartermachinery.com,https://www.linkedin.com/company/carter-machinery,"423830,423810,532412",False,"Founded in 1952, Carter Machinery is the authorized Caterpillar dealer serving Virginia, West Virginia, Maryland, Delaware and Washington D.C. through",AI Ark lookalike + NAICS filter
Astec-like,Wacker Neuson,wackerneuson.com,https://www.linkedin.com/company/wackerneuson,"811490,333120,423810",True,"In close cooperation with our customers, we offer products and services that surpass their high standards and fulfill their diverse requirements, whil",AI Ark lookalike + NAICS filter
Astec-like,Blattner,blattnercompany.com,https://www.linkedin.com/company/blattner-company,"541330,221118",False,"With more than 115 years of construction experience, Blattner has played a vital role in building America’s critical infrastructure, ranging from rail",AI Ark lookalike + NAICS filter
Astec-like,Liebherr Group,liebherr.com,https://www.linkedin.com/company/liebherr,"441110,423830,423810",False,"Established in 1949, the Liebherr Group today is not only one of the biggest construction equipment manufacturers in the world, but also offers high-q",AI Ark lookalike + NAICS filter
Astec-like,Groupe Qualiconsult,groupe-qualiconsult.fr,https://www.linkedin.com/company/qualiconsult,"551112,561110,541330",False,Qualiconsult Group was created in 1982 by technical control professionals and has always seen its mission to be general technical support to project o,AI Ark lookalike + NAICS filter
Astec-like,Downer,downergroup.com,https://www.linkedin.com/company/downer,"551112,213112,541330",False,Enabling communities to thrive.   It’s what we’ve done for more than 150 years. Solving problems. Making the extraordinary run smoothly every day. We’,AI Ark lookalike + NAICS filter
Astec-like,Mourik,mourik.com,https://www.linkedin.com/company/mourik,"236220,541330",False,"Family business Mourik is a B2B service provider in the area of infrastructure, industrial services, non-residential construction and catalyst handlin",AI Ark lookalike + NAICS filter
Astec-like,Granite Construction,graniteconstruction.com,https://www.linkedin.com/company/granite-construction,"237310,237990,212321,236210",False,"From infrastructure that facilitates the movement of goods and people to projects that improve the way we live, work, and play, high-value partnership",AI Ark lookalike + NAICS filter
Astec-like,Best Line Equipment,bestline.com,https://www.linkedin.com/company/best-line-equipment,"423810,423440,532412",False,"Best Line Equipment is an industry-leading equipment rental, sales, service, and parts provider with locations in Pennsylvania and New Jersey. For ove",AI Ark lookalike + NAICS filter
Astec-like,Boral,boral.com.au,https://www.linkedin.com/company/boral,"237110,236116,541330",False,"Boral is the largest vertically-integrated construction materials company in Australia. Our network includes prized quarry and cement infrastructure, ",AI Ark lookalike + NAICS filter
Astec-like,Zeppelin Group,zeppelin.com,https://www.linkedin.com/company/zeppelingroup,541330,False,"The Zeppelin Group is a global sales and service provider with extensive industry expertise in the fields of construction, drive and energy. The compa",AI Ark lookalike + NAICS filter
Astec-like,"Traffic Management, Inc",trafficmanagement.com,https://www.linkedin.com/company/traffic-management-inc,"561110,561990,561499,541330",False,"Providing Solutions for Work Zone Safety  TMI specializes in providing our customers, employees and the public a safe work zone while maintaining an e",AI Ark lookalike + NAICS filter
